044 IRIS 1.0 24 3T 044 44 U58B -35.374900 -72.448400  225 2010.01.01 00:00 2010.12.31 24:00 IRIS
045 IRIS 1.0 24 3T 045 45 U59B -35.912900 -72.399700  198 2010.01.01 00:00 2010.12.31 24:00 IRIS
046 IRIS 1.0 24 3T 046 46 U60B -35.877500 -72.617200  193 2010.01.01 00:00 2010.12.31 24:00 IRIS
047 IRIS 1.0 24 3T 047 47 U61B -35.566700 -72.600000    0 2010.01.01 00:00 2010.12.31 24:00 IRIS
048 IRIS 1.0 24 3T 048 48 U62B -35.658700 -71.771100   99 2010.01.01 00:00 2010.12.31 24:00 IRIS
049 IRIS 1.0 24 3T 049 49 U63B -35.725400 -72.129600  214 2010.01.01 00:00 2010.12.31 24:00 IRIS
050 IRIS 1.0 24 3T 050 50 U64B -35.397900 -71.679700  122 2010.01.01 00:00 2010.12.31 24:00 IRIS
051 IRIS 1.0 24 3T 051 51 U65B -34.964200 -71.788600   66 2010.01.01 00:00 2010.12.31 24:00 IRIS
052 IRIS 1.0 24 3T 052 52 U66B -34.906200 -72.166400  139 2010.01.01 00:00 2010.12.31 24:00 IRIS
053 IRIS 1.0 24 3T 053 53 U67B -34.487000 -71.554000  183 2010.01.01 00:00 2010.12.31 24:00 IRIS
054 IRIS 1.0 24 3T 054 54 U68B -34.407800 -71.970800   27 2010.01.01 00:00 2010.12.31 24:00 IRIS
055 IRIS 1.0 24 3T 055 55 U69B -34.370700 -71.176200  163 2010.01.01 00:00 2010.12.31 24:00 IRIS
056 IRIS 1.0 24 3T 056 56 U70B -33.771600 -70.874300  349 2010.01.01 00:00 2010.12.31 24:00 IRIS
057 IRIS 1.0 24 3T 057 57 U71B -34.090400 -70.829600  442 2010.01.01 00:00 2010.12.31 24:00 IRIS
058 IRIS 1.0 24 3T 058 58 U72B -33.978700 -71.812400   40 2010.01.01 00:00 2010.12.31 24:00 IRIS
059 IRIS 1.0 24 3T 059 59 U73B -33.916400 -71.419800  186 2010.01.01 00:00 2010.12.31 24:00 IRIS
060 IRIS 1.0 24 3T 060 60 U74B -33.599700 -71.544000  183 2010.01.01 00:00 2010.12.31 24:00 IRIS
061 IRIS 1.0 24 3T 061 61 U75B -33.381200 -71.181000    0 2010.01.01 00:00 2010.12.31 24:00 IRIS
062 IRIS 1.0 24 3T 062 62 U91S -36.762100 -73.081700    3 2010.01.01 00:00 2010.12.31 24:00 IRIS
063 IRIS 1.0 24 3T 063 63 U92S -36.827700 -73.061200   11 2010.01.01 00:00 2010.12.31 24:00 IRIS
064 IRIS 1.0 24 3T 064 64 U93S -36.830800 -73.052600   23 2010.01.01 00:00 2010.12.31 24:00 IRIS
999 EDL  1.0 24 L4-3D 001 65 G01S -33.48038 -71.53584 221 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 66 G02S -34.11282 -71.88958 250 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 67 G03S -34.32662 -71.96110 111 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 68 G04S -34.36644 -71.88076 491 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 69 G05S -34.43364 -72.01663 099 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 70 G06S -34.49170 -71.97884 061 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 71 G07S -34.78248 -72.02704 039 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 72 G08S -34.79755 -71.70063 100 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 73 G09S -34.98038 -71.44026 191 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 74 G10S -35.05225 -72.08983 020 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 75 G11S -34.41885 -71.84513 550 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 76 G12S -35.23615 -72.26560 132 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 77 G13S -35.37817 -71.96084 375 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 78 G14S -35.40280 -72.43936 236 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 79 G15S -34.48451 -71.88215 464 2010.01.01 00:00 2010.12.31 24:00 GFZ
999 EDL  1.0 24 L4-3D 001 80 G16S -35.59920 -72.58347 062 2010.01.01 00:00 2010.12.31 24:00 GFZ
